,index,nneg,npos,ntot
787,CHEMBL2492,184,345,529
788,CHEMBL2493,65,23,88
789,CHEMBL2494,99,12,111
790,CHEMBL2496,2,19,21
791,CHEMBL2498,1,27,28
792,CHEMBL2499,13,111,124
793,CHEMBL250,37,359,396
794,CHEMBL2501,26,22,48
795,CHEMBL2508,9,18,27
796,CHEMBL251,945,3159,4104
797,CHEMBL2514,47,18,65
798,CHEMBL2517,22,30,52
799,CHEMBL2518,50,12,62
800,CHEMBL252,102,1099,1201
801,CHEMBL2525,94,437,531
802,CHEMBL2526,34,91,125
803,CHEMBL2527,204,262,466
804,CHEMBL2528,9,56,65
805,CHEMBL253,828,3211,4039
806,CHEMBL2534,168,221,389
807,CHEMBL2535,15,13,28
808,CHEMBL2536,11,96,107
809,CHEMBL2539,37,14,51
810,CHEMBL254,93,476,569
811,CHEMBL2543,71,37,108
812,CHEMBL2548,12,48,60
813,CHEMBL255,409,1385,1794
814,CHEMBL2552,32,37,69
815,CHEMBL2553,101,57,158
816,CHEMBL2555,25,36,61
817,CHEMBL2558,63,22,85
818,CHEMBL256,703,2875,3578
819,CHEMBL2560,0,35,35
820,CHEMBL2563,117,93,210
821,CHEMBL2564,182,873,1055
822,CHEMBL2567,0,212,212
823,CHEMBL2568,67,454,521
824,CHEMBL2569,18,153,171
825,CHEMBL257,71,501,572
826,CHEMBL2570,2,31,33
827,CHEMBL2573,30,41,71
828,CHEMBL2575,91,135,226
829,CHEMBL2576,1,48,49
830,CHEMBL2577,4,72,76
831,CHEMBL2578,1,81,82
832,CHEMBL258,619,1328,1947
833,CHEMBL2581,417,849,1266
834,CHEMBL2584,0,14,14
835,CHEMBL259,181,1760,1941
836,CHEMBL2590,510,305,815
837,CHEMBL2592,12,19,31
838,CHEMBL2593,49,22,71
839,CHEMBL2594,1,18,19
840,CHEMBL2595,55,27,82
841,CHEMBL2598,74,10,84
842,CHEMBL2599,215,419,634
843,CHEMBL260,701,3142,3843
844,CHEMBL2601,16,14,30
845,CHEMBL2602,8,22,30
846,CHEMBL2605,12,15,27
847,CHEMBL2608,47,21,68
848,CHEMBL2609,1,19,20
849,CHEMBL261,827,2897,3724
850,CHEMBL2611,32,94,126
851,CHEMBL2617,23,200,223
852,CHEMBL262,668,1619,2287
853,CHEMBL2622,342,305,647
854,CHEMBL2623,36,45,81
855,CHEMBL2625,70,300,370
856,CHEMBL2626,59,121,180
857,CHEMBL2627,0,54,54
858,CHEMBL263,25,413,438
859,CHEMBL2633,31,13,44
860,CHEMBL2634,93,49,142
861,CHEMBL2635,216,76,292
862,CHEMBL2637,266,655,921
863,CHEMBL264,186,3028,3214
864,CHEMBL2647,4,23,27
865,CHEMBL2649,166,35,201
866,CHEMBL265,353,635,988
867,CHEMBL2652,146,148,294
868,CHEMBL2654,12,31,43
869,CHEMBL2659,4,29,33
870,CHEMBL266,5,60,65
871,CHEMBL2660,7,10,17
872,CHEMBL2662,11,11,22
873,CHEMBL2664,60,92,152
874,CHEMBL2669,27,18,45
875,CHEMBL267,1158,2003,3161
876,CHEMBL2672,0,32,32
877,CHEMBL2675,16,20,36
878,CHEMBL2676,2,81,83
879,CHEMBL268,379,1527,1906
880,CHEMBL2689,83,64,147
881,CHEMBL269,273,1384,1657
882,CHEMBL2693,36,77,113
883,CHEMBL2695,248,295,543
884,CHEMBL270,330,1940,2270
885,CHEMBL2706,27,41,68
886,CHEMBL2708,76,62,138
887,CHEMBL2710,2,18,20
888,CHEMBL2714,71,106,177
889,CHEMBL2716,131,84,215
890,CHEMBL2717,30,94,124
891,CHEMBL2721,82,33,115
892,CHEMBL2722,59,532,591
893,CHEMBL2723,12,19,31
894,CHEMBL2724,3,49,52
895,CHEMBL2725,44,114,158
896,CHEMBL2728,15,12,27
897,CHEMBL273,504,3729,4233
898,CHEMBL2730,98,231,329
899,CHEMBL2731,1,25,26
900,CHEMBL2734,14,93,107
901,CHEMBL2736,137,189,326
902,CHEMBL2738,154,33,187
903,CHEMBL274,186,1650,1836
904,CHEMBL2741,6,28,34
905,CHEMBL2742,87,47,134
906,CHEMBL2745,65,16,81
907,CHEMBL2748,11,39,50
908,CHEMBL2749,178,261,439
909,CHEMBL275,89,824,913
910,CHEMBL2753,54,18,72
911,CHEMBL2755,113,31,144
912,CHEMBL2756,127,152,279
913,CHEMBL2758,9,26,35
914,CHEMBL276,191,664,855
915,CHEMBL277,10,26,36
916,CHEMBL2777,61,22,83
917,CHEMBL2778,29,204,233
918,CHEMBL278,3,190,193
919,CHEMBL2780,0,27,27
920,CHEMBL2781,41,195,236
921,CHEMBL2782,137,235,372
922,CHEMBL2787,45,64,109
923,CHEMBL2789,25,315,340
924,CHEMBL279,1209,4028,5237
925,CHEMBL2792,13,14,27
926,CHEMBL2793,78,59,137
927,CHEMBL2794,4,29,33
928,CHEMBL2798,11,55,66
929,CHEMBL2799,3,26,29
930,CHEMBL280,352,2074,2426
931,CHEMBL2801,78,102,180
932,CHEMBL2802,74,167,241
933,CHEMBL2803,203,174,377
934,CHEMBL2805,0,17,17
935,CHEMBL2808,104,442,546
936,CHEMBL281,55,1153,1208
937,CHEMBL2810,32,59,91
938,CHEMBL2813,1,20,21
939,CHEMBL2814,22,27,49
940,CHEMBL2815,121,274,395
941,CHEMBL2820,79,112,191
942,CHEMBL2828,123,151,274
943,CHEMBL283,486,1587,2073
944,CHEMBL2830,79,69,148
945,CHEMBL2835,171,432,603
946,CHEMBL284,779,3123,3902
947,CHEMBL2842,368,1242,1610
948,CHEMBL285,246,633,879
949,CHEMBL2850,198,206,404
950,CHEMBL2851,83,377,460
951,CHEMBL2854,45,528,573
952,CHEMBL2857,137,271,408
953,CHEMBL2858,42,437,479
954,CHEMBL286,227,2089,2316
955,CHEMBL2860,40,36,76
956,CHEMBL2864,38,45,83
957,CHEMBL2866,5,39,44
958,CHEMBL2868,32,268,300
959,CHEMBL287,146,1858,2004
960,CHEMBL2870,54,37,91
961,CHEMBL2871,265,924,1189
962,CHEMBL2872,75,69,144
963,CHEMBL2873,65,32,97
964,CHEMBL2878,1,41,42
965,CHEMBL288,158,460,618
966,CHEMBL2880,6,16,22
967,CHEMBL2882,52,73,125
968,CHEMBL2883,118,23,141
969,CHEMBL2885,110,54,164
970,CHEMBL2888,22,34,56
971,CHEMBL2889,74,97,171
972,CHEMBL2890,9,10,19
973,CHEMBL2896,66,14,80
974,CHEMBL2897,71,22,93
975,CHEMBL2898,24,27,51
976,CHEMBL2899,20,26,46
977,CHEMBL290,19,98,117
978,CHEMBL2902,85,221,306
979,CHEMBL2903,162,149,311
980,CHEMBL291,19,94,113
981,CHEMBL2911,0,21,21
982,CHEMBL2912,4,43,47
983,CHEMBL2915,1,18,19
984,CHEMBL2916,218,343,561
985,CHEMBL2918,78,11,89
986,CHEMBL2919,43,58,101
987,CHEMBL2922,0,12,12
988,CHEMBL2933,5,12,17
989,CHEMBL2934,6,33,39
990,CHEMBL2935,2,79,81
991,CHEMBL2937,2,16,18
992,CHEMBL2938,50,179,229
993,CHEMBL2939,99,51,150
994,CHEMBL2940,18,52,70
995,CHEMBL2949,1171,361,1532
996,CHEMBL2954,286,1499,1785
997,CHEMBL2955,130,52,182
998,CHEMBL2959,213,555,768
999,CHEMBL2963,17,17,34
1000,CHEMBL2964,55,52,107
1001,CHEMBL2966,228,131,359
1002,CHEMBL2967,179,109,288
1003,CHEMBL2971,252,1038,1290
1004,CHEMBL2973,199,664,863
1005,CHEMBL2977,8,33,41
1006,CHEMBL2978,52,76,128
1007,CHEMBL298,289,1007,1296
1008,CHEMBL2980,53,62,115
1009,CHEMBL2982,60,28,88
1010,CHEMBL2987,7,10,17
1011,CHEMBL2988,27,12,39
1012,CHEMBL299,396,668,1064
1013,CHEMBL2991,19,62,81
1014,CHEMBL2992,41,10,51
1015,CHEMBL2993,417,508,925
1016,CHEMBL2994,5,27,32
1017,CHEMBL2995,0,10,10
1018,CHEMBL2996,178,561,739
1019,CHEMBL2997,21,19,40
1020,CHEMBL2998,6,32,38
1021,CHEMBL2999,68,21,89
1022,CHEMBL300,0,16,16
1023,CHEMBL3000,7,16,23
1024,CHEMBL3004,134,137,271
1025,CHEMBL3009,79,70,149
1026,CHEMBL301,784,1154,1938
1027,CHEMBL3012,61,285,346
1028,CHEMBL3013,26,18,44
1029,CHEMBL3014,6,25,31
1030,CHEMBL3018,18,205,223
1031,CHEMBL302,361,1333,1694
1032,CHEMBL3021,5,41,46
1033,CHEMBL3023,26,60,86
1034,CHEMBL3024,381,467,848
1035,CHEMBL3025,82,194,276
1036,CHEMBL3026,2,38,40
1037,CHEMBL3027,3,22,25
1038,CHEMBL3028,16,58,74
1039,CHEMBL303,10,38,48
1040,CHEMBL3032,77,34,111
1041,CHEMBL3034,6,34,40
1042,CHEMBL3037,40,129,169
1043,CHEMBL3038455,1,14,15
1044,CHEMBL3038461,3,10,13
1045,CHEMBL3038469,89,92,181
1046,CHEMBL3038476,20,16,36
1047,CHEMBL3038479,0,20,20
1048,CHEMBL3038482,1,34,35
1049,CHEMBL3038484,5,31,36
1050,CHEMBL3038485,3,17,20
1051,CHEMBL3038488,16,49,65
1052,CHEMBL3038489,15,50,65
1053,CHEMBL3038491,0,17,17
1054,CHEMBL3038499,9,75,84
1055,CHEMBL3038506,8,33,41
1056,CHEMBL3038508,11,24,35
1057,CHEMBL3038510,0,17,17
1058,CHEMBL304,182,991,1173
1059,CHEMBL3041,1,59,60
1060,CHEMBL3045,116,326,442
1061,CHEMBL3047,32,19,51
1062,CHEMBL3048,196,297,493
1063,CHEMBL3050,5,12,17
1064,CHEMBL3055,77,97,174
1065,CHEMBL3056,20,30,50
1066,CHEMBL3060,340,92,432
1067,CHEMBL3062,74,32,106
1068,CHEMBL3063,5,13,18
1069,CHEMBL3065,0,10,10
1070,CHEMBL3066,50,463,513
1071,CHEMBL3067,46,72,118
1072,CHEMBL3068,24,17,41
1073,CHEMBL307,50,127,177
1074,CHEMBL3070,29,111,140
1075,CHEMBL3071,11,18,29
1076,CHEMBL3072,103,190,293
1077,CHEMBL3074,7,28,35
1078,CHEMBL3078,3,10,13
1079,CHEMBL308,515,788,1303
1080,CHEMBL3081,166,168,334
1081,CHEMBL3084,13,20,33
1082,CHEMBL3085,82,46,128
1083,CHEMBL3085613,9,71,80
1084,CHEMBL309,96,413,509
1085,CHEMBL3091,1,23,24
1086,CHEMBL3091268,17,21,38
1087,CHEMBL3092,10,33,43
1088,CHEMBL3094,115,23,138
1089,CHEMBL3097982,3,37,40
1090,CHEMBL310,37,10,47
1091,CHEMBL3100,6,35,41
1092,CHEMBL3105,207,1388,1595
1093,CHEMBL3106,104,74,178
1094,CHEMBL3108659,16,26,42
1095,CHEMBL311,74,204,278
1096,CHEMBL3111,5,10,15
1097,CHEMBL3112376,14,35,49
1098,CHEMBL3112387,17,13,30
1099,CHEMBL3114,128,70,198
1100,CHEMBL3116,80,71,151
1101,CHEMBL3117,35,30,65
1102,CHEMBL3118,4,16,20
1103,CHEMBL3119,5,28,33
1104,CHEMBL312,331,970,1301
1105,CHEMBL3122,40,122,162
1106,CHEMBL3123,63,20,83
1107,CHEMBL3125,79,12,91
1108,CHEMBL313,345,3099,3444
1109,CHEMBL3130,310,1021,1331
1110,CHEMBL3137268,13,32,45
1111,CHEMBL3138,33,639,672
1112,CHEMBL3142,162,620,782
1113,CHEMBL3144,0,19,19
1114,CHEMBL3145,371,880,1251
1115,CHEMBL3148,13,20,33
1116,CHEMBL315,14,71,85
1117,CHEMBL3150,2,47,49
1118,CHEMBL3151,37,17,54
1119,CHEMBL3154,14,13,27
1120,CHEMBL3155,215,1271,1486
1121,CHEMBL3157,81,381,462
1122,CHEMBL3160,60,407,467
1123,CHEMBL3161,40,17,57
1124,CHEMBL3166,152,44,196
1125,CHEMBL317,13,40,53
1126,CHEMBL3171,17,24,41
1127,CHEMBL3176,4,33,37
1128,CHEMBL3179,5,20,25
1129,CHEMBL318,706,2247,2953
1130,CHEMBL3180,47,107,154
1131,CHEMBL3181,70,284,354
1132,CHEMBL3183,4,20,24
1133,CHEMBL3189,57,22,79
1134,CHEMBL319,61,437,498
1135,CHEMBL3190,14,35,49
1136,CHEMBL3192,246,573,819
1137,CHEMBL3194,18,24,42
1138,CHEMBL3195,4,24,28
1139,CHEMBL3197,2,19,21
1140,CHEMBL3198,87,175,262
1141,CHEMBL3199,284,759,1043
1142,CHEMBL320,81,176,257
1143,CHEMBL3201,25,55,80
1144,CHEMBL3202,202,230,432
1145,CHEMBL3203,34,36,70
1146,CHEMBL3204,37,27,64
1147,CHEMBL321,748,2034,2782
1148,CHEMBL3216,19,12,31
1149,CHEMBL3218,14,14,28
1150,CHEMBL322,292,1466,1758
1151,CHEMBL3222,105,470,575
1152,CHEMBL3223,46,340,386
1153,CHEMBL3224,5,38,43
1154,CHEMBL3226,6,25,31
1155,CHEMBL3227,282,732,1014
1156,CHEMBL3227915,46,36,82
1157,CHEMBL3229,408,1144,1552
1158,CHEMBL323,0,61,61
1159,CHEMBL3230,52,161,213
1160,CHEMBL3231,193,426,619
1161,CHEMBL3232689,4,11,15
1162,CHEMBL3232700,5,34,39
1163,CHEMBL3234,123,275,398
1164,CHEMBL3235,29,20,49
1165,CHEMBL324,106,455,561
1166,CHEMBL3241,1,35,36
1167,CHEMBL3242,95,1341,1436
1168,CHEMBL3243,176,116,292
1169,CHEMBL3243909,44,35,79
1170,CHEMBL3243910,0,52,52
1171,CHEMBL3243913,3,24,27
1172,CHEMBL3246,9,14,23
1173,CHEMBL3247,121,678,799
1174,CHEMBL325,345,1758,2103
1175,CHEMBL3250,13,88,101
1176,CHEMBL3251,98,24,122
1177,CHEMBL3252,91,53,144
1178,CHEMBL3253,45,23,68
1179,CHEMBL3254,17,211,228
1180,CHEMBL3255,13,18,31
1181,CHEMBL3259470,0,22,22
1182,CHEMBL3259471,0,22,22
1183,CHEMBL326,26,297,323
1184,CHEMBL3262,40,49,89
1185,CHEMBL3263,0,80,80
1186,CHEMBL3266,7,13,20
1187,CHEMBL3267,381,1098,1479
1188,CHEMBL3268,104,109,213
1189,CHEMBL327,33,37,70
1190,CHEMBL3272,45,113,158
1191,CHEMBL3286,462,727,1189
1192,CHEMBL3286061,12,10,22
1193,CHEMBL3286067,13,19,32
1194,CHEMBL3288,7,22,29
1195,CHEMBL329,77,57,134
1196,CHEMBL3290,91,28,119
1197,CHEMBL3295,17,26,43
1198,CHEMBL3297639,2,15,17
1199,CHEMBL330,217,551,768
1200,CHEMBL3301396,9,24,33
1201,CHEMBL3305,14,87,101
1202,CHEMBL3308,141,111,252
1203,CHEMBL331,236,375,611
1204,CHEMBL3310,54,88,142
1205,CHEMBL3311,0,17,17
1206,CHEMBL3313,0,89,89
1207,CHEMBL3314,173,143,316
1208,CHEMBL3317,13,19,32
1209,CHEMBL3318,427,137,564
1210,CHEMBL332,1507,2136,3643
1211,CHEMBL3321,55,28,83
1212,CHEMBL3326,20,34,54
1213,CHEMBL333,1083,2602,3685
1214,CHEMBL3331,11,18,29
1215,CHEMBL3332,14,358,372
1216,CHEMBL3333,22,60,82
1217,CHEMBL3337,24,91,115
1218,CHEMBL3338,53,181,234
1219,CHEMBL3344,44,37,81
1220,CHEMBL3345,7,34,41
1221,CHEMBL3346,2,10,12
1222,CHEMBL3348,73,41,114
1223,CHEMBL3349,5,96,101
1224,CHEMBL335,1247,1385,2632
1225,CHEMBL3351,111,197,308
1226,CHEMBL3357,55,37,92
1227,CHEMBL3358,471,502,973
1228,CHEMBL3359,51,60,111
1229,CHEMBL3360,119,263,382
1230,CHEMBL3361,7,121,128
1231,CHEMBL3365,5,14,19
1232,CHEMBL3367,5,70,75
1233,CHEMBL3368,5,54,59
1234,CHEMBL3369,66,341,407
1235,CHEMBL3371,198,2002,2200
1236,CHEMBL3372,7,23,30
1237,CHEMBL3373,10,51,61
1238,CHEMBL3374,24,270,294
1239,CHEMBL3377,94,126,220
1240,CHEMBL3378,7,30,37
1241,CHEMBL338,294,2498,2792
1242,CHEMBL3381,26,20,46
1243,CHEMBL3382,5,36,41
1244,CHEMBL3383,22,33,55
1245,CHEMBL3384,78,28,106
1246,CHEMBL3385,158,43,201
1247,CHEMBL339,932,3581,4513
1248,CHEMBL3391,6,19,25
1249,CHEMBL3392,86,90,176
1250,CHEMBL3394,35,37,72
1251,CHEMBL3399,19,28,47
1252,CHEMBL340,7,12,19
1253,CHEMBL3401,85,82,167
1254,CHEMBL3403,156,110,266
1255,CHEMBL3404,10,10,20
1256,CHEMBL341,1,20,21
1257,CHEMBL3412,0,29,29
1258,CHEMBL3414,4,56,60
1259,CHEMBL3415,7,70,77
1260,CHEMBL3416,0,33,33
1261,CHEMBL3419,25,84,109
1262,CHEMBL3421,25,13,38
1263,CHEMBL3422,0,19,19
1264,CHEMBL3423,58,154,212
1265,CHEMBL3426,86,207,293
1266,CHEMBL3427,55,112,167
1267,CHEMBL3429,9,75,84
1268,CHEMBL343,1,20,21
1269,CHEMBL3436,7,43,50
1270,CHEMBL3437,39,123,162
1271,CHEMBL3438,112,55,167
1272,CHEMBL3439,2,57,59
1273,CHEMBL344,152,2233,2385
1274,CHEMBL3444,24,21,45
1275,CHEMBL3446,77,65,142
1276,CHEMBL3452,0,12,12
1277,CHEMBL3455,34,121,155
1278,CHEMBL3456,6,48,54
1279,CHEMBL3457,9,62,71
1280,CHEMBL3459,119,266,385
1281,CHEMBL3460,7,14,21
1282,CHEMBL3461,6,45,51
1283,CHEMBL3464,417,209,626
1284,CHEMBL3465,4,150,154
1285,CHEMBL3467,20,18,38
1286,CHEMBL3468,80,367,447
1287,CHEMBL3471,730,489,1219
1288,CHEMBL3473,63,876,939
1289,CHEMBL3474,110,238,348
1290,CHEMBL3475,105,148,253
1291,CHEMBL3476,181,271,452
1292,CHEMBL3478,45,189,234
1293,CHEMBL3480,11,27,38
1294,CHEMBL3481,59,60,119
1295,CHEMBL3482,71,23,94
1296,CHEMBL3486,78,107,185
1297,CHEMBL3490,257,25,282
1298,CHEMBL3491,3,16,19
1299,CHEMBL3492,85,45,130
1300,CHEMBL3499,8,32,40
1301,CHEMBL3501,105,353,458
1302,CHEMBL3503,33,29,62
1303,CHEMBL3504,15,23,38
1304,CHEMBL3505,18,19,37
1305,CHEMBL3507,8,15,23
1306,CHEMBL3508,171,193,364
1307,CHEMBL3510,54,428,482
1308,CHEMBL3511,32,17,49
1309,CHEMBL3513,132,48,180
1310,CHEMBL3514,21,289,310
1311,CHEMBL3516,23,37,60
1312,CHEMBL3518,25,10,35
1313,CHEMBL3521,153,50,203
1314,CHEMBL3522,75,353,428
1315,CHEMBL3524,191,252,443
1316,CHEMBL3526,21,98,119
1317,CHEMBL3528,16,14,30
1318,CHEMBL3529,117,89,206
1319,CHEMBL3534,9,42,51
1320,CHEMBL3535,56,60,116
1321,CHEMBL3541,19,46,65
1322,CHEMBL3542,66,15,81
1323,CHEMBL3544,5,18,23
1324,CHEMBL3545,28,30,58
1325,CHEMBL3548,41,70,111
1326,CHEMBL3549,0,17,17
1327,CHEMBL3553,152,240,392
1328,CHEMBL3559,139,238,377
1329,CHEMBL3563,280,274,554
1330,CHEMBL3564,66,27,93
1331,CHEMBL3565,0,56,56
1332,CHEMBL3568,344,666,1010
1333,CHEMBL3569,5,31,36
1334,CHEMBL3570,1,19,20
1335,CHEMBL3571,402,1339,1741
1336,CHEMBL3572,282,566,848
1337,CHEMBL3577,11,21,32
1338,CHEMBL3578,18,28,46
1339,CHEMBL3582,184,268,452
1340,CHEMBL3587,189,522,711
1341,CHEMBL3589,96,376,472
1342,CHEMBL3590,27,160,187
1343,CHEMBL3592,22,13,35
1344,CHEMBL3593,18,127,145
1345,CHEMBL3594,216,1789,2005
1346,CHEMBL3595,9,15,24
1347,CHEMBL3597,2,38,40
1348,CHEMBL3602,61,747,808
1349,CHEMBL3604,18,67,85
1350,CHEMBL3607,74,45,119
1351,CHEMBL3608,45,12,57
1352,CHEMBL3614,76,167,243
1353,CHEMBL3616,98,212,310
1354,CHEMBL3622,7,23,30
1355,CHEMBL3623,42,62,104
1356,CHEMBL3626,0,29,29
1357,CHEMBL3629,96,168,264
1358,CHEMBL3636,58,86,144
1359,CHEMBL3637,2,15,17
1360,CHEMBL3638,0,52,52
1361,CHEMBL3640,76,17,93
1362,CHEMBL3646,16,30,46
1363,CHEMBL3649,166,140,306
1364,CHEMBL3650,398,626,1024
1365,CHEMBL3651,2,14,16
1366,CHEMBL3652,25,18,43
1367,CHEMBL3655,58,199,257
1368,CHEMBL3656,63,87,150
1369,CHEMBL3658,36,118,154
1370,CHEMBL3660,15,41,56
1371,CHEMBL3663,61,120,181
1372,CHEMBL3667,7,27,34
1373,CHEMBL3674,15,17,32
1374,CHEMBL3676,3,59,62
1375,CHEMBL3683,62,80,142
1376,CHEMBL3684,6,16,22
1377,CHEMBL3687,158,109,267
1378,CHEMBL3688,3,30,33
1379,CHEMBL3690,22,28,50
1380,CHEMBL3691,35,124,159
1381,CHEMBL3693,19,47,66
1382,CHEMBL3699,132,13,145
1383,CHEMBL3701,2,18,20
1384,CHEMBL3706,116,1226,1342
1385,CHEMBL3710,131,471,602
1386,CHEMBL3717,413,1561,1974
1387,CHEMBL3718,13,36,49
1388,CHEMBL3719,6,41,47
1389,CHEMBL3720,13,38,51
1390,CHEMBL3724,2,51,53
1391,CHEMBL3726,9,29,38
1392,CHEMBL3728,30,16,46
1393,CHEMBL3729,117,272,389
1394,CHEMBL3730,15,11,26
1395,CHEMBL3733,9,44,53
1396,CHEMBL3735,118,51,169
1397,CHEMBL3736,9,56,65
1398,CHEMBL3737,18,53,71
1399,CHEMBL3738,0,47,47
1400,CHEMBL3740,22,35,57
1401,CHEMBL3741,11,18,29
1402,CHEMBL3744,27,34,61
1403,CHEMBL3746,338,99,437
1404,CHEMBL3747,4,14,18
1405,CHEMBL3751,1,30,31
1406,CHEMBL3753,23,53,76
1407,CHEMBL3759,215,928,1143
1408,CHEMBL3761,53,40,93
1409,CHEMBL3762,33,55,88
1410,CHEMBL3764,30,303,333
1411,CHEMBL3766,162,326,488
1412,CHEMBL3768,15,290,305
1413,CHEMBL3769,221,608,829
1414,CHEMBL3771,77,112,189
1415,CHEMBL3772,117,127,244
1416,CHEMBL3774,4,17,21
1417,CHEMBL3775,161,125,286
1418,CHEMBL3776,185,238,423
1419,CHEMBL3778,93,147,240
1420,CHEMBL3780,14,84,98
1421,CHEMBL3781,0,10,10
1422,CHEMBL3783,25,35,60
1423,CHEMBL3784,19,21,40
1424,CHEMBL3785,44,263,307
1425,CHEMBL3788,64,79,143
1426,CHEMBL3795,99,221,320
1427,CHEMBL3797,85,20,105
1428,CHEMBL3798,29,521,550
1429,CHEMBL3799,7,22,29
1430,CHEMBL3802,2,93,95
1431,CHEMBL3805,4,37,41
1432,CHEMBL3807,239,311,550
1433,CHEMBL3808,17,25,42
1434,CHEMBL3813,7,88,95
1435,CHEMBL3815,110,464,574
1436,CHEMBL3816,70,194,264
1437,CHEMBL3817,26,52,78
1438,CHEMBL3818,12,21,33
1439,CHEMBL3819,25,56,81
1440,CHEMBL3820,82,591,673
1441,CHEMBL3829,65,16,81
1442,CHEMBL3830,48,35,83
1443,CHEMBL3831,73,25,98
1444,CHEMBL3833,0,12,12
1445,CHEMBL3834,70,30,100
1446,CHEMBL3835,123,90,213
1447,CHEMBL3836,128,84,212
1448,CHEMBL3837,647,1013,1660
1449,CHEMBL3840,11,17,28
1450,CHEMBL3847,2,12,14
1451,CHEMBL3848,0,13,13
1452,CHEMBL3849,36,21,57
1453,CHEMBL3855,27,37,64
1454,CHEMBL3858,26,18,44
1455,CHEMBL3859,31,91,122
1456,CHEMBL3860,3,44,47
1457,CHEMBL3863,83,109,192
1458,CHEMBL3864,131,71,202
1459,CHEMBL3868,18,87,105
1460,CHEMBL3869,276,493,769
1461,CHEMBL3870,5,32,37
1462,CHEMBL3871,38,11,49
1463,CHEMBL3872,16,28,44
1464,CHEMBL3878,4,47,51
1465,CHEMBL3880,89,306,395
1466,CHEMBL3881,8,29,37
1467,CHEMBL3882,2,11,13
1468,CHEMBL3884,101,744,845
1469,CHEMBL3886,73,34,107
1470,CHEMBL3890,159,123,282
1471,CHEMBL3891,76,493,569
1472,CHEMBL3892,203,462,665
1473,CHEMBL3895,1,10,11
1474,CHEMBL3896,0,26,26
1475,CHEMBL3897,24,122,146
1476,CHEMBL3898,52,351,403
1477,CHEMBL3902,44,39,83
1478,CHEMBL3905,139,227,366
1479,CHEMBL3906,69,15,84
1480,CHEMBL3910,66,950,1016
1481,CHEMBL3911,18,303,321
1482,CHEMBL3912,17,177,194
1483,CHEMBL3913,28,90,118
1484,CHEMBL3916,19,63,82
1485,CHEMBL3917,17,27,44
1486,CHEMBL3918,75,23,98
1487,CHEMBL3919,6,30,36
1488,CHEMBL3920,124,480,604
1489,CHEMBL3921,47,141,188
1490,CHEMBL3922,103,399,502
1491,CHEMBL3923,19,155,174
1492,CHEMBL3924,44,17,61
1493,CHEMBL3927,65,26,91
1494,CHEMBL3932,12,21,33
1495,CHEMBL3933,3,76,79
1496,CHEMBL3935,54,77,131
1497,CHEMBL3938,57,28,85
1498,CHEMBL3942,30,134,164
1499,CHEMBL3943,74,260,334
1500,CHEMBL3945,35,20,55
1501,CHEMBL3948,38,787,825
1502,CHEMBL3949,138,292,430
1503,CHEMBL3952,298,1466,1764
1504,CHEMBL3956,74,13,87
1505,CHEMBL3959,54,217,271
1506,CHEMBL3961,89,154,243
1507,CHEMBL3963,1,34,35
1508,CHEMBL3965,46,40,86
1509,CHEMBL3969,45,161,206
1510,CHEMBL3972,30,68,98
1511,CHEMBL3973,73,22,95
1512,CHEMBL3974,34,482,516
1513,CHEMBL3975,143,338,481
1514,CHEMBL3976,1021,548,1569
1515,CHEMBL3979,284,654,938
1516,CHEMBL3980,59,22,81
1517,CHEMBL3981,33,49,82
1518,CHEMBL3982,61,24,85
1519,CHEMBL3983,66,170,236
1520,CHEMBL3985,11,44,55
1521,CHEMBL3986,1,19,20
1522,CHEMBL3987,62,22,84
1523,CHEMBL3988,65,27,92
1524,CHEMBL3991,123,306,429
1525,CHEMBL3993,3,10,13
1526,CHEMBL3994,12,37,49
1527,CHEMBL3996,61,351,412
1528,CHEMBL3997,5,39,44
1529,CHEMBL3998,82,219,301
1530,CHEMBL4000,2,44,46
1531,CHEMBL4001,0,23,23
1532,CHEMBL4004,53,26,79
1533,CHEMBL4005,583,2071,2654
1534,CHEMBL4009,24,12,36
1535,CHEMBL401,89,87,176
1536,CHEMBL4010,0,33,33
1537,CHEMBL4012,0,19,19
1538,CHEMBL4013,2,28,30
1539,CHEMBL4014,52,46,98
1540,CHEMBL4015,133,1263,1396
1541,CHEMBL4016,100,126,226
1542,CHEMBL4017,3,44,47
1543,CHEMBL4018,106,139,245
1544,CHEMBL402,25,183,208
1545,CHEMBL4026,182,162,344
1546,CHEMBL4027,45,97,142
1547,CHEMBL4028,18,129,147
1548,CHEMBL4029,36,191,227
1549,CHEMBL4032,14,12,26
1550,CHEMBL4033,22,111,133
1551,CHEMBL4035,4,64,68
1552,CHEMBL4036,231,124,355
1553,CHEMBL4038,0,17,17
1554,CHEMBL4039,32,20,52
1555,CHEMBL4040,378,192,570
1556,CHEMBL4042,40,14,54
1557,CHEMBL4045,62,23,85
1558,CHEMBL4047,26,53,79
1559,CHEMBL4050,69,19,88
1560,CHEMBL4051,34,55,89
1561,CHEMBL4054,5,98,103
1562,CHEMBL4062,7,78,85
1563,CHEMBL4065,10,18,28
1564,CHEMBL4068,75,351,426
1565,CHEMBL4070,61,63,124
1566,CHEMBL4071,132,126,258
1567,CHEMBL4072,794,724,1518
1568,CHEMBL4073,242,398,640
1569,CHEMBL4074,137,507,644
