,index,nneg,npos,ntot
178,CHEMBL1844,128,624,752
179,CHEMBL1847,2,18,20
180,CHEMBL1849,65,159,224
181,CHEMBL1850,115,184,299
182,CHEMBL1853,90,122,212
183,CHEMBL1855,50,1052,1102
184,CHEMBL1856,70,415,485
185,CHEMBL1857,72,24,96
186,CHEMBL1859,0,66,66
187,CHEMBL1860,173,274,447
188,CHEMBL1862,313,799,1112
189,CHEMBL1864,5,49,54
190,CHEMBL1865,268,876,1144
191,CHEMBL1866,36,29,65
192,CHEMBL1867,117,669,786
193,CHEMBL1868,355,614,969
194,CHEMBL1869,7,12,19
195,CHEMBL1870,14,103,117
196,CHEMBL1871,330,1214,1544
197,CHEMBL1873,406,197,603
198,CHEMBL1875,35,376,411
199,CHEMBL1878,48,265,313
200,CHEMBL1881,130,189,319
201,CHEMBL1882,9,74,83
202,CHEMBL1886,15,96,111
203,CHEMBL1889,47,460,507
204,CHEMBL1892,36,180,216
205,CHEMBL1898,166,992,1158
206,CHEMBL1899,118,346,464
207,CHEMBL1900,129,600,729
208,CHEMBL1901,114,318,432
209,CHEMBL1902,157,357,514
210,CHEMBL1903,39,72,111
211,CHEMBL1904,6,92,98
212,CHEMBL1906,143,416,559
213,CHEMBL1907,238,113,351
214,CHEMBL1907587,18,148,166
215,CHEMBL1907588,14,25,39
216,CHEMBL1907589,201,476,677
217,CHEMBL1907590,30,96,126
218,CHEMBL1907591,9,14,23
219,CHEMBL1907592,12,112,124
220,CHEMBL1907593,131,104,235
221,CHEMBL1907594,104,193,297
222,CHEMBL1907595,38,138,176
223,CHEMBL1907596,278,1264,1542
224,CHEMBL1907598,241,1042,1283
225,CHEMBL1907599,126,1006,1132
226,CHEMBL1907600,598,819,1417
227,CHEMBL1907601,335,521,856
228,CHEMBL1907602,185,239,424
229,CHEMBL1907603,35,117,152
230,CHEMBL1907604,17,43,60
231,CHEMBL1907605,107,285,392
232,CHEMBL1907606,9,19,28
233,CHEMBL1907609,291,797,1088
234,CHEMBL1907610,531,2349,2880
235,CHEMBL1908,45,489,534
236,CHEMBL1908381,60,12,72
237,CHEMBL1908382,57,15,72
238,CHEMBL1908383,60,12,72
239,CHEMBL1908385,54,54,108
240,CHEMBL1908386,53,19,72
241,CHEMBL1908387,52,20,72
242,CHEMBL1908389,54,18,72
243,CHEMBL1909485,30,18,48
244,CHEMBL1910,10,48,58
245,CHEMBL1913,388,707,1095
246,CHEMBL1914,862,1045,1907
247,CHEMBL1914272,0,38,38
248,CHEMBL1915,28,55,83
249,CHEMBL1916,50,484,534
250,CHEMBL1917,25,102,127
251,CHEMBL1918,62,146,208
252,CHEMBL1919,16,147,163
253,CHEMBL1921,42,153,195
254,CHEMBL1921664,7,45,52
255,CHEMBL1921666,14,54,68
256,CHEMBL1923,6,30,36
257,CHEMBL1926,185,456,641
258,CHEMBL1926488,30,64,94
259,CHEMBL1926495,2,12,14
260,CHEMBL1929,151,88,239
261,CHEMBL1932895,9,39,48
262,CHEMBL1932898,2,17,19
263,CHEMBL1935,10,51,61
264,CHEMBL1936,169,682,851
265,CHEMBL1937,161,413,574
266,CHEMBL1938210,13,20,33
267,CHEMBL1938219,0,37,37
268,CHEMBL1939,8,137,145
269,CHEMBL1940,58,60,118
270,CHEMBL1941,244,220,464
271,CHEMBL1942,53,371,424
272,CHEMBL1943,14,32,46
273,CHEMBL1944,109,328,437
274,CHEMBL1944490,9,21,30
275,CHEMBL1944497,8,27,35
276,CHEMBL1944498,12,15,27
277,CHEMBL1944499,30,44,74
278,CHEMBL1945,104,764,868
279,CHEMBL1946,31,707,738
280,CHEMBL1947,164,414,578
281,CHEMBL1949,94,42,136
282,CHEMBL1949492,3,14,17
283,CHEMBL1951,744,683,1427
284,CHEMBL1952,235,418,653
285,CHEMBL1954,1,11,12
286,CHEMBL1955,117,233,350
287,CHEMBL1957,439,892,1331
288,CHEMBL1958,1,14,15
289,CHEMBL1961783,4,22,26
290,CHEMBL1962,13,90,103
291,CHEMBL1963,0,20,20
292,CHEMBL1966,322,303,625
293,CHEMBL1968,69,34,103
294,CHEMBL1970,6,20,26
295,CHEMBL1971,15,41,56
296,CHEMBL1973,44,25,69
